"No.","Time","Source","Destination","Protocol","Length","Info"
"546","54.449004409","127.0.0.1","127.0.0.1","TCP","68","60722  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280410489 TSecr=2280410489 [TCP segment of a reassembled PDU]"
"549","54.451518146","127.0.0.1","127.0.0.1","TCP","66","60722  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280410492 TSecr=2280410492"
"551","55.454485278","127.0.0.1","127.0.0.1","TCP","66","60722  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280411495 TSecr=2280411495"
"553","55.454503727","127.0.0.1","127.0.0.1","TCP","66","60722  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280411495 TSecr=2280411495"
"554","56.462619239","127.0.0.1","127.0.0.1","TCP","70","60722  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280412503 TSecr=2280411495 [TCP segment of a reassembled PDU]"
"556","56.462655420","127.0.0.1","127.0.0.1","TCP","83","60722  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280412503 TSecr=2280412503"
"558","56.462674938","127.0.0.1","127.0.0.1","TCP","66","60722  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280412503 TSecr=2280412503"
"560","56.462754716","127.0.0.1","127.0.0.1","TCP","66","60722  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280412503 TSecr=2280412503"
"561","56.464170198","127.0.0.1","127.0.0.1","TCP","74","60724  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280412505 TSecr=0 WS=128"
"563","56.464182861","127.0.0.1","127.0.0.1","TCP","66","60724  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280412505 TSecr=2280412505"
"564","56.464213940","127.0.0.1","127.0.0.1","TCP","70","60724  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280412505 TSecr=2280412505"
"566","56.464222866","127.0.0.1","127.0.0.1","TCP","68","60724  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280412505 TSecr=2280412505 [TCP segment of a reassembled PDU]"
"569","56.466683708","127.0.0.1","127.0.0.1","TCP","66","60724  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280412507 TSecr=2280412507"
"571","57.467990954","127.0.0.1","127.0.0.1","TCP","66","60724  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280413508 TSecr=2280413508"
"573","57.468043165","127.0.0.1","127.0.0.1","TCP","66","60724  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280413508 TSecr=2280413508"
"574","58.478531908","127.0.0.1","127.0.0.1","TCP","70","60724  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280414519 TSecr=2280413508 [TCP segment of a reassembled PDU]"
"576","58.478656828","127.0.0.1","127.0.0.1","TCP","83","60724  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280414519 TSecr=2280414519"
"578","58.478724135","127.0.0.1","127.0.0.1","TCP","66","60724  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280414519 TSecr=2280414519"
"580","58.478974711","127.0.0.1","127.0.0.1","TCP","66","60724  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280414519 TSecr=2280414519"
"581","58.484059123","127.0.0.1","127.0.0.1","TCP","74","60726  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280414524 TSecr=0 WS=128"
"583","58.484102135","127.0.0.1","127.0.0.1","TCP","66","60726  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280414524 TSecr=2280414524"
"584","58.484230093","127.0.0.1","127.0.0.1","TCP","70","60726  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280414525 TSecr=2280414524"
"586","58.484273120","127.0.0.1","127.0.0.1","TCP","68","60726  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280414525 TSecr=2280414525 [TCP segment of a reassembled PDU]"
"589","58.492873368","127.0.0.1","127.0.0.1","TCP","66","60726  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280414533 TSecr=2280414533"
"591","59.496235343","127.0.0.1","127.0.0.1","TCP","66","60726  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280415537 TSecr=2280415537"
"593","59.496289622","127.0.0.1","127.0.0.1","TCP","66","60726  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280415537 TSecr=2280415537"
"594","60.506816244","127.0.0.1","127.0.0.1","TCP","70","60726  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280416547 TSecr=2280415537 [TCP segment of a reassembled PDU]"
"596","60.506863329","127.0.0.1","127.0.0.1","TCP","83","60726  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280416547 TSecr=2280416547"
"598","60.506882806","127.0.0.1","127.0.0.1","TCP","66","60726  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280416547 TSecr=2280416547"
"600","60.506937294","127.0.0.1","127.0.0.1","TCP","66","60726  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280416547 TSecr=2280416547"
"601","60.508475652","127.0.0.1","127.0.0.1","TCP","74","60728  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280416549 TSecr=0 WS=128"
"603","60.508487492","127.0.0.1","127.0.0.1","TCP","66","60728  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280416549 TSecr=2280416549"
"604","60.508520053","127.0.0.1","127.0.0.1","TCP","70","60728  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280416549 TSecr=2280416549"
"606","60.508528919","127.0.0.1","127.0.0.1","TCP","68","60728  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280416549 TSecr=2280416549 [TCP segment of a reassembled PDU]"
"609","60.511007427","127.0.0.1","127.0.0.1","TCP","66","60728  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280416551 TSecr=2280416551"
"611","61.511825066","127.0.0.1","127.0.0.1","TCP","66","60728  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280417552 TSecr=2280417552"
"613","61.511845416","127.0.0.1","127.0.0.1","TCP","66","60728  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280417552 TSecr=2280417552"
"614","62.524566702","127.0.0.1","127.0.0.1","TCP","70","60728  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280418565 TSecr=2280417552 [TCP segment of a reassembled PDU]"
"616","62.524691488","127.0.0.1","127.0.0.1","TCP","83","60728  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280418565 TSecr=2280418565"
"618","62.524757177","127.0.0.1","127.0.0.1","TCP","66","60728  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280418565 TSecr=2280418565"
"620","62.525012829","127.0.0.1","127.0.0.1","TCP","66","60728  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280418565 TSecr=2280418565"
"621","62.530236187","127.0.0.1","127.0.0.1","TCP","74","60730  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280418571 TSecr=0 WS=128"
"623","62.530279865","127.0.0.1","127.0.0.1","TCP","66","60730  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280418571 TSecr=2280418571"
"624","62.530455444","127.0.0.1","127.0.0.1","TCP","70","60730  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280418571 TSecr=2280418571"
"626","62.530493714","127.0.0.1","127.0.0.1","TCP","68","60730  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280418571 TSecr=2280418571 [TCP segment of a reassembled PDU]"
"629","62.538823211","127.0.0.1","127.0.0.1","TCP","66","60730  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280418579 TSecr=2280418579"
"631","63.539590805","127.0.0.1","127.0.0.1","TCP","66","60730  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280419580 TSecr=2280419580"
"633","63.539659592","127.0.0.1","127.0.0.1","TCP","66","60730  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280419580 TSecr=2280419580"
"634","64.549200334","127.0.0.1","127.0.0.1","TCP","70","60730  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280420590 TSecr=2280419580 [TCP segment of a reassembled PDU]"
"636","64.549252578","127.0.0.1","127.0.0.1","TCP","83","60730  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280420590 TSecr=2280420590"
"638","64.549282014","127.0.0.1","127.0.0.1","TCP","66","60730  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280420590 TSecr=2280420590"
"640","64.549335094","127.0.0.1","127.0.0.1","TCP","66","60730  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280420590 TSecr=2280420590"
"641","64.550959974","127.0.0.1","127.0.0.1","TCP","74","60732  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280420591 TSecr=0 WS=128"
"643","64.550972821","127.0.0.1","127.0.0.1","TCP","66","60732  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280420591 TSecr=2280420591"
"644","64.551004507","127.0.0.1","127.0.0.1","TCP","70","60732  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280420591 TSecr=2280420591"
"646","64.551014976","127.0.0.1","127.0.0.1","TCP","68","60732  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280420591 TSecr=2280420591 [TCP segment of a reassembled PDU]"
"649","64.553633172","127.0.0.1","127.0.0.1","TCP","66","60732  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280420594 TSecr=2280420594"
"651","65.556685715","127.0.0.1","127.0.0.1","TCP","66","60732  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280421597 TSecr=2280421597"
"653","65.556738374","127.0.0.1","127.0.0.1","TCP","66","60732  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280421597 TSecr=2280421597"
"654","66.569237150","127.0.0.1","127.0.0.1","TCP","70","60732  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280422610 TSecr=2280421597 [TCP segment of a reassembled PDU]"
"656","66.569339836","127.0.0.1","127.0.0.1","TCP","83","60732  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280422610 TSecr=2280422610"
"658","66.569372801","127.0.0.1","127.0.0.1","TCP","66","60732  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280422610 TSecr=2280422610"
"660","66.569418130","127.0.0.1","127.0.0.1","TCP","66","60732  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280422610 TSecr=2280422610"
"661","66.570960943","127.0.0.1","127.0.0.1","TCP","74","60734  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280422611 TSecr=0 WS=128"
"663","66.570973150","127.0.0.1","127.0.0.1","TCP","66","60734  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280422611 TSecr=2280422611"
"664","66.571004619","127.0.0.1","127.0.0.1","TCP","70","60734  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280422611 TSecr=2280422611"
"666","66.571013237","127.0.0.1","127.0.0.1","TCP","68","60734  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280422611 TSecr=2280422611 [TCP segment of a reassembled PDU]"
"669","66.573336501","127.0.0.1","127.0.0.1","TCP","66","60734  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280422614 TSecr=2280422614"
"671","67.575941154","127.0.0.1","127.0.0.1","TCP","66","60734  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280423616 TSecr=2280423616"
"673","67.575992483","127.0.0.1","127.0.0.1","TCP","66","60734  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280423616 TSecr=2280423616"
"674","68.585057438","127.0.0.1","127.0.0.1","TCP","70","60734  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280424625 TSecr=2280423616 [TCP segment of a reassembled PDU]"
"676","68.585102651","127.0.0.1","127.0.0.1","TCP","83","60734  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280424625 TSecr=2280424625"
"679","68.585318165","127.0.0.1","127.0.0.1","TCP","66","60734  >  8080 [FIN, ACK] Seq=28 Ack=222 Win=65536 Len=0 TSval=2280424626 TSecr=2280424626"
"681","68.586968438","127.0.0.1","127.0.0.1","TCP","74","60736  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280424627 TSecr=0 WS=128"
"683","68.586981248","127.0.0.1","127.0.0.1","TCP","66","60736  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280424627 TSecr=2280424627"
"684","68.587011474","127.0.0.1","127.0.0.1","TCP","70","60736  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280424627 TSecr=2280424627"
"686","68.587020373","127.0.0.1","127.0.0.1","TCP","68","60736  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280424627 TSecr=2280424627 [TCP segment of a reassembled PDU]"
"689","68.589534676","127.0.0.1","127.0.0.1","TCP","66","60736  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280424630 TSecr=2280424630"
"691","69.592618561","127.0.0.1","127.0.0.1","TCP","66","60736  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280425633 TSecr=2280425633"
"693","69.592878906","127.0.0.1","127.0.0.1","TCP","66","60736  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280425633 TSecr=2280425633"
"694","70.603492615","127.0.0.1","127.0.0.1","TCP","70","60736  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280426644 TSecr=2280425633 [TCP segment of a reassembled PDU]"
"696","70.603565682","127.0.0.1","127.0.0.1","TCP","83","60736  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280426644 TSecr=2280426644"
"698","70.603622288","127.0.0.1","127.0.0.1","TCP","66","60736  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280426644 TSecr=2280426644"
"700","70.603651852","127.0.0.1","127.0.0.1","TCP","66","60736  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280426644 TSecr=2280426644"
"701","70.605241075","127.0.0.1","127.0.0.1","TCP","74","60738  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280426646 TSecr=0 WS=128"
"703","70.605253552","127.0.0.1","127.0.0.1","TCP","66","60738  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280426646 TSecr=2280426646"
"704","70.605298837","127.0.0.1","127.0.0.1","TCP","70","60738  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280426646 TSecr=2280426646"
"706","70.605308722","127.0.0.1","127.0.0.1","TCP","68","60738  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280426646 TSecr=2280426646 [TCP segment of a reassembled PDU]"
"709","70.607829522","127.0.0.1","127.0.0.1","TCP","66","60738  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280426648 TSecr=2280426648"
"711","71.608741784","127.0.0.1","127.0.0.1","TCP","66","60738  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280427649 TSecr=2280427649"
"713","71.608798967","127.0.0.1","127.0.0.1","TCP","66","60738  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280427649 TSecr=2280427649"
"714","72.615323627","127.0.0.1","127.0.0.1","TCP","70","60738  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280428656 TSecr=2280427649 [TCP segment of a reassembled PDU]"
"716","72.615357709","127.0.0.1","127.0.0.1","TCP","83","60738  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280428656 TSecr=2280428656"
"718","72.615377215","127.0.0.1","127.0.0.1","TCP","66","60738  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280428656 TSecr=2280428656"
"720","72.615447750","127.0.0.1","127.0.0.1","TCP","66","60738  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280428656 TSecr=2280428656"
"721","72.616940487","127.0.0.1","127.0.0.1","TCP","74","60740  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280428657 TSecr=0 WS=128"
"723","72.616952706","127.0.0.1","127.0.0.1","TCP","66","60740  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280428657 TSecr=2280428657"
"724","72.616983005","127.0.0.1","127.0.0.1","TCP","70","60740  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280428657 TSecr=2280428657"
"726","72.616991856","127.0.0.1","127.0.0.1","TCP","68","60740  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280428657 TSecr=2280428657 [TCP segment of a reassembled PDU]"
"729","72.619438495","127.0.0.1","127.0.0.1","TCP","66","60740  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280428660 TSecr=2280428660"
"731","73.620993407","127.0.0.1","127.0.0.1","TCP","66","60740  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280429661 TSecr=2280429661"
"733","73.621045411","127.0.0.1","127.0.0.1","TCP","66","60740  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280429661 TSecr=2280429661"
"734","74.629255768","127.0.0.1","127.0.0.1","TCP","70","60740  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280430670 TSecr=2280429661 [TCP segment of a reassembled PDU]"
"736","74.629303235","127.0.0.1","127.0.0.1","TCP","83","60740  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280430670 TSecr=2280430670"
"738","74.629331628","127.0.0.1","127.0.0.1","TCP","66","60740  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280430670 TSecr=2280430670"
"740","74.629378132","127.0.0.1","127.0.0.1","TCP","66","60740  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280430670 TSecr=2280430670"
"741","74.630999804","127.0.0.1","127.0.0.1","TCP","74","60742  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280430671 TSecr=0 WS=128"
"743","74.631012551","127.0.0.1","127.0.0.1","TCP","66","60742  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280430671 TSecr=2280430671"
"744","74.631044352","127.0.0.1","127.0.0.1","TCP","70","60742  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280430671 TSecr=2280430671"
"746","74.631054928","127.0.0.1","127.0.0.1","TCP","68","60742  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280430671 TSecr=2280430671 [TCP segment of a reassembled PDU]"
"749","74.633545890","127.0.0.1","127.0.0.1","TCP","66","60742  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280430674 TSecr=2280430674"
"751","75.637639704","127.0.0.1","127.0.0.1","TCP","66","60742  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280431678 TSecr=2280431678"
"753","75.637691317","127.0.0.1","127.0.0.1","TCP","66","60742  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280431678 TSecr=2280431678"
"754","76.647877230","127.0.0.1","127.0.0.1","TCP","70","60742  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280432688 TSecr=2280431678 [TCP segment of a reassembled PDU]"
"756","76.647912181","127.0.0.1","127.0.0.1","TCP","83","60742  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280432688 TSecr=2280432688"
"758","76.647955919","127.0.0.1","127.0.0.1","TCP","66","60742  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280432688 TSecr=2280432688"
"760","76.648016822","127.0.0.1","127.0.0.1","TCP","66","60742  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280432688 TSecr=2280432688"
"761","76.649682244","127.0.0.1","127.0.0.1","TCP","74","60744  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280432690 TSecr=0 WS=128"
"763","76.649694440","127.0.0.1","127.0.0.1","TCP","66","60744  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280432690 TSecr=2280432690"
"764","76.649726469","127.0.0.1","127.0.0.1","TCP","70","60744  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280432690 TSecr=2280432690"
"766","76.649735471","127.0.0.1","127.0.0.1","TCP","68","60744  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280432690 TSecr=2280432690 [TCP segment of a reassembled PDU]"
"769","76.652168814","127.0.0.1","127.0.0.1","TCP","66","60744  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280432693 TSecr=2280432693"
"771","77.654049161","127.0.0.1","127.0.0.1","TCP","66","60744  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280433694 TSecr=2280433694"
"773","77.654102177","127.0.0.1","127.0.0.1","TCP","66","60744  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280433694 TSecr=2280433694"
"774","78.660535391","127.0.0.1","127.0.0.1","TCP","70","60744  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280434701 TSecr=2280433694 [TCP segment of a reassembled PDU]"
"776","78.660570110","127.0.0.1","127.0.0.1","TCP","83","60744  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280434701 TSecr=2280434701"
"779","78.660687737","127.0.0.1","127.0.0.1","TCP","66","60744  >  8080 [FIN, ACK] Seq=28 Ack=222 Win=65536 Len=0 TSval=2280434701 TSecr=2280434701"
"781","78.662276717","127.0.0.1","127.0.0.1","TCP","74","60746  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280434703 TSecr=0 WS=128"
"783","78.662289795","127.0.0.1","127.0.0.1","TCP","66","60746  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280434703 TSecr=2280434703"
"784","78.662322837","127.0.0.1","127.0.0.1","TCP","70","60746  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280434703 TSecr=2280434703"
"786","78.662331900","127.0.0.1","127.0.0.1","TCP","68","60746  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280434703 TSecr=2280434703 [TCP segment of a reassembled PDU]"
"789","78.664884525","127.0.0.1","127.0.0.1","TCP","66","60746  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280434705 TSecr=2280434705"
"791","79.665832430","127.0.0.1","127.0.0.1","TCP","66","60746  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280435706 TSecr=2280435706"
"793","79.665981105","127.0.0.1","127.0.0.1","TCP","66","60746  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280435706 TSecr=2280435706"
"794","80.677339293","127.0.0.1","127.0.0.1","TCP","70","60746  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280436718 TSecr=2280435706 [TCP segment of a reassembled PDU]"
"796","80.677389437","127.0.0.1","127.0.0.1","TCP","83","60746  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280436718 TSecr=2280436718"
"798","80.677409775","127.0.0.1","127.0.0.1","TCP","66","60746  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280436718 TSecr=2280436718"
"800","80.677463801","127.0.0.1","127.0.0.1","TCP","66","60746  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280436718 TSecr=2280436718"
"801","80.678961660","127.0.0.1","127.0.0.1","TCP","74","60748  >  8080 [SYN] Seq=0 Win=65495 Len=0 MSS=65495 SACK_PERM=1 TSval=2280436719 TSecr=0 WS=128"
"803","80.678973340","127.0.0.1","127.0.0.1","TCP","66","60748  >  8080 [ACK] Seq=1 Ack=1 Win=65536 Len=0 TSval=2280436719 TSecr=2280436719"
"804","80.679005062","127.0.0.1","127.0.0.1","TCP","70","60748  >  8080 [PSH, ACK] Seq=1 Ack=1 Win=65536 Len=4 TSval=2280436719 TSecr=2280436719"
"806","80.679013844","127.0.0.1","127.0.0.1","TCP","68","60748  >  8080 [PSH, ACK] Seq=5 Ack=1 Win=65536 Len=2 TSval=2280436719 TSecr=2280436719 [TCP segment of a reassembled PDU]"
"809","80.681477049","127.0.0.1","127.0.0.1","TCP","66","60748  >  8080 [ACK] Seq=7 Ack=14 Win=65536 Len=0 TSval=2280436722 TSecr=2280436722"
"811","81.683582015","127.0.0.1","127.0.0.1","TCP","66","60748  >  8080 [ACK] Seq=7 Ack=22 Win=65536 Len=0 TSval=2280437724 TSecr=2280437724"
"813","81.683635344","127.0.0.1","127.0.0.1","TCP","66","60748  >  8080 [ACK] Seq=7 Ack=221 Win=65408 Len=0 TSval=2280437724 TSecr=2280437724"
"814","82.690148779","127.0.0.1","127.0.0.1","TCP","70","60748  >  8080 [PSH, ACK] Seq=7 Ack=221 Win=65536 Len=4 TSval=2280438731 TSecr=2280437724 [TCP segment of a reassembled PDU]"
"816","82.690196492","127.0.0.1","127.0.0.1","TCP","83","60748  >  8080 [PSH, ACK] Seq=11 Ack=221 Win=65536 Len=17 TSval=2280438731 TSecr=2280438731"
"818","82.690215863","127.0.0.1","127.0.0.1","TCP","66","60748  >  8080 [FIN, ACK] Seq=28 Ack=221 Win=65536 Len=0 TSval=2280438731 TSecr=2280438731"
"820","82.690270909","127.0.0.1","127.0.0.1","TCP","66","60748  >  8080 [ACK] Seq=29 Ack=222 Win=65536 Len=0 TSval=2280438731 TSecr=2280438731"
